YEAR,GENRE,RATING,VOTES,RunTime,Gross,MOVIES,ONE-LINE,STARS
2015.0,"['Action', 'Crime', 'Drama']",7.6,387903.0,121.0,46.89,Sicario,"
An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.","
    Director:
Denis Villeneuve
| 
    Stars:
Emily Blunt, 
Josh Brolin, 
Benicio Del Toro, 
Jon Bernthal
"
2019.0,"['Biography', 'Crime', 'Drama']",7.8,345455.0,209.0,7.0,The Irishman,"
Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.","
    Director:
Martin Scorsese
| 
    Stars:
Robert De Niro, 
Al Pacino, 
Joe Pesci, 
Harvey Keitel
"
2003.0,"['Action', 'Adventure', 'Drama']",8.9,1691777.0,201.0,377.85,The Lord of the Rings: The Return of the King,"
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom
"
2017.0,"['Action', 'Crime', 'Drama']",7.6,468655.0,113.0,107.83,Baby Driver,"
After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","
    Director:
Edgar Wright
| 
    Stars:
Ansel Elgort, 
Jon Bernthal, 
Jon Hamm, 
Eiza González
"
2002.0,"['Action', 'Adventure', 'Sci-Fi']",7.3,709684.0,121.0,403.71,Spider-Man,"
When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","
    Director:
Sam Raimi
| 
    Stars:
Tobey Maguire, 
Kirsten Dunst, 
Willem Dafoe, 
James Franco
"
2019.0,"['Action', 'Adventure', 'Comedy']",6.7,205638.0,123.0,316.83,Jumanji: The Next Level,"
In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.","
    Director:
Jake Kasdan
| 
    Stars:
Dwayne Johnson, 
Jack Black, 
Kevin Hart, 
Karen Gillan
"
2016.0,"['Drama', 'Sci-Fi']",7.9,623912.0,116.0,100.55,Arrival,"
A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.","
    Director:
Denis Villeneuve
| 
    Stars:
Amy Adams, 
Jeremy Renner, 
Forest Whitaker, 
Michael Stuhlbarg
"
1976.0,"['Crime', 'Drama']",8.2,752553.0,114.0,28.26,Taxi Driver,"
A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.","
    Director:
Martin Scorsese
| 
    Stars:
Robert De Niro, 
Jodie Foster, 
Cybill Shepherd, 
Albert Brooks
"
1978.0,"['Musical', 'Romance']",7.2,250587.0,110.0,188.76,Grease,"
Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?","
    Director:
Randal Kleiser
| 
    Stars:
John Travolta, 
Olivia Newton-John, 
Stockard Channing, 
Jeff Conaway
"
2018.0,"['Action', 'Adventure', 'Sci-Fi']",6.7,390167.0,112.0,213.52,Venom,"
A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","
    Director:
Ruben Fleischer
| 
    Stars:
Tom Hardy, 
Michelle Williams, 
Riz Ahmed, 
Scott Haze
"
2017.0,"['Action', 'Adventure', 'Crime']",6.6,215795.0,136.0,226.01,The Fate of the Furious,"
When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.","
    Director:
F. Gary Gray
| 
    Stars:
Vin Diesel, 
Jason Statham, 
Dwayne Johnson, 
Michelle Rodriguez
"
2016.0,"['Action', 'Adventure', 'Sci-Fi']",7.8,697750.0,147.0,408.08,Captain America: Civil War,"
Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.","
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Chris Evans, 
Robert Downey Jr., 
Scarlett Johansson, 
Sebastian Stan
"
2001.0,"['Animation', 'Adventure', 'Family']",8.6,682809.0,125.0,10.06,Sen to Chihiro no kamikakushi,"
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","
    Director:
Hayao Miyazaki
| 
    Stars:
Daveigh Chase, 
Suzanne Pleshette, 
Miyu Irino, 
Rumi Hiiragi
"
2018.0,"['Action', 'Crime', 'Drama']",6.1,43896.0,115.0,14.84,The Girl in the Spider's Web,"
Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.","
    Director:
Fede Alvarez
| 
    Stars:
Claire Foy, 
Beau Gadsdon, 
Sverrir Gudnason, 
LaKeith Stanfield
"
2017.0,"['Action', 'Adventure', 'Fantasy']",6.6,294292.0,118.0,168.05,Kong: Skull Island,"
After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.","
    Director:
Jordan Vogt-Roberts
| 
    Stars:
Tom Hiddleston, 
Samuel L. Jackson, 
Brie Larson, 
John C. Reilly
"
2015.0,"['Action', 'Adventure', 'Drama']",8.0,732244.0,156.0,183.64,The Revenant,"
A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.","
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Leonardo DiCaprio, 
Tom Hardy, 
Will Poulter, 
Domhnall Gleeson
"
2002.0,"['Action', 'Adventure', 'Drama']",8.7,1529752.0,179.0,342.55,The Lord of the Rings: The Two Towers,"
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom
"
2001.0,"['Comedy', 'Romance']",6.3,195752.0,96.0,96.52,Legally Blonde,"
Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.","
    Director:
Robert Luketic
| 
    Stars:
Reese Witherspoon, 
Luke Wilson, 
Selma Blair, 
Matthew Davis
"
2018.0,"['Action', 'Comedy', 'Crime']",6.3,197909.0,110.0,140.22,Ocean's Eight,"
Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.","
    Director:
Gary Ross
| 
    Stars:
Sandra Bullock, 
Cate Blanchett, 
Anne Hathaway, 
Mindy Kaling
"
2017.0,"['Action', 'Adventure', 'Fantasy']",6.5,276173.0,129.0,172.56,Pirates of the Caribbean: Dead Men Tell No Tales,"
Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.","
    Directors:
Joachim Rønning, 
Espen Sandberg
| 
    Stars:
Johnny Depp, 
Geoffrey Rush, 
Javier Bardem, 
Orlando Bloom
"
1968.0,"['Adventure', 'Sci-Fi']",8.3,622998.0,149.0,56.95,2001: A Space Odyssey,"
After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.","
    Director:
Stanley Kubrick
| 
    Stars:
Keir Dullea, 
Gary Lockwood, 
William Sylvester, 
Daniel Richter
"
2016.0,"['Action', 'Adventure', 'Sci-Fi']",6.4,657423.0,152.0,330.36,Batman v Superman: Dawn of Justice,"
Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","
    Director:
Zack Snyder
| 
    Stars:
Ben Affleck, 
Henry Cavill, 
Amy Adams, 
Jesse Eisenberg
"
2017.0,"['Drama', 'Horror', 'Mystery']",6.6,201141.0,121.0,17.8,Mother!,"
A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.","
    Director:
Darren Aronofsky
| 
    Stars:
Jennifer Lawrence, 
Javier Bardem, 
Ed Harris, 
Michelle Pfeiffer
"
1978.0,['Comedy'],7.5,115289.0,109.0,0.2,National Lampoon's Animal House,"
At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.","
    Director:
John Landis
| 
    Stars:
John Belushi, 
Karen Allen, 
Tom Hulce, 
Stephen Furst
"
2011.0,"['Comedy', 'Fantasy', 'Romance']",7.7,399157.0,94.0,56.82,Midnight in Paris,"
While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.","
    Director:
Woody Allen
| 
    Stars:
Owen Wilson, 
Rachel McAdams, 
Kathy Bates, 
Kurt Fuller
"
2004.0,"['Action', 'Crime', 'Thriller']",8.0,706053.0,137.0,66.21,Kill Bill: Vol. 2,"
The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","
    Director:
Quentin Tarantino
| 
    Stars:
Uma Thurman, 
David Carradine, 
Michael Madsen, 
Daryl Hannah
"
2011.0,"['Biography', 'Drama', 'Sport']",7.6,386263.0,133.0,75.61,Moneyball,"
Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.","
    Director:
Bennett Miller
| 
    Stars:
Brad Pitt, 
Robin Wright, 
Jonah Hill, 
Philip Seymour Hoffman
"
2013.0,"['Action', 'Drama', 'Sci-Fi']",7.1,335946.0,126.0,4.56,Snowpiercer,"
In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer, a train that travels around the globe, a new class system emerges.","
    Director:
Bong Joon Ho
| 
    Stars:
Chris Evans, 
Jamie Bell, 
Tilda Swinton, 
Ed Harris
"
2014.0,"['Action', 'Drama']",6.2,286734.0,102.0,106.58,300: Rise of an Empire,"
Greek general Themistokles of Athens leads the naval charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.","
    Director:
Noam Murro
| 
    Stars:
Sullivan Stapleton, 
Eva Green, 
Lena Headey, 
Hans Matheson
"
2016.0,"['Animation', 'Drama', 'Fantasy']",8.4,217433.0,106.0,5.02,Kimi no na wa.,"
Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","
    Director:
Makoto Shinkai
| 
    Stars:
Ryûnosuke Kamiki, 
Mone Kamishiraishi, 
Ryô Narita, 
Aoi Yûki
"
2019.0,['Comedy'],7.2,103143.0,102.0,22.68,Booksmart,"
On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.","
    Director:
Olivia Wilde
| 
    Stars:
Kaitlyn Dever, 
Beanie Feldstein, 
Jessica Williams, 
Jason Sudeikis
"
1978.0,"['Adventure', 'Horror', 'Thriller']",5.8,73931.0,116.0,102.92,Jaws 2,"
Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.","
    Director:
Jeannot Szwarc
| 
    Stars:
Roy Scheider, 
Lorraine Gary, 
Murray Hamilton, 
Joseph Mascolo
"
2008.0,"['Action', 'Comedy', 'War']",7.0,391033.0,107.0,110.52,Tropic Thunder,"
Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.","
    Director:
Ben Stiller
| 
    Stars:
Ben Stiller, 
Jack Black, 
Robert Downey Jr., 
Jeff Kahn
"
2017.0,"['Family', 'Fantasy', 'Musical']",7.1,284484.0,129.0,504.01,Beauty and the Beast,"
A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.","
    Director:
Bill Condon
| 
    Stars:
Emma Watson, 
Dan Stevens, 
Luke Evans, 
Josh Gad
"
2016.0,"['Action', 'Crime', 'Drama']",7.6,211816.0,102.0,26.86,Hell or High Water,"
A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.","
    Director:
David Mackenzie
| 
    Stars:
Chris Pine, 
Ben Foster, 
Jeff Bridges, 
Gil Birmingham
"
2019.0,"['Comedy', 'Drama', 'Romance']",7.9,266307.0,137.0,2.0,Marriage Story,"
Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.","
    Director:
Noah Baumbach
| 
    Stars:
Adam Driver, 
Scarlett Johansson, 
Julia Greer, 
Azhy Robertson
"
2018.0,"['Adventure', 'Drama', 'Horror']",6.8,293459.0,115.0,32.73,Annihilation,"
A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","
    Director:
Alex Garland
| 
    Stars:
Natalie Portman, 
Jennifer Jason Leigh, 
Tessa Thompson, 
Benedict Wong
"
2017.0,"['Crime', 'Drama', 'Mystery']",7.7,218337.0,107.0,33.8,Wind River,"
A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.","
    Director:
Taylor Sheridan
| 
    Stars:
Elizabeth Olsen, 
Jeremy Renner, 
Graham Greene, 
Kelsey Asbille
"
2013.0,"['Animation', 'Adventure', 'Comedy']",7.4,586769.0,102.0,400.74,Frozen,"
When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","
    Directors:
Chris Buck, 
Jennifer Lee
| 
    Stars:
Kristen Bell, 
Idina Menzel, 
Jonathan Groff, 
Josh Gad
"
2012.0,"['Drama', 'History', 'Thriller']",7.6,208903.0,114.0,19.02,Lo imposible,"
The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.","
    Director:
J.A. Bayona
| 
    Stars:
Naomi Watts, 
Ewan McGregor, 
Tom Holland, 
Oaklee Pendergast
"
2016.0,"['Action', 'Comedy', 'Crime']",7.4,295435.0,116.0,36.26,The Nice Guys,"
In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.","
    Director:
Shane Black
| 
    Stars:
Russell Crowe, 
Ryan Gosling, 
Angourie Rice, 
Matt Bomer
"
2017.0,"['Crime', 'Drama', 'Thriller']",5.1,60354.0,119.0,6.67,The Snowman,"
Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.","
    Director:
Tomas Alfredson
| 
    Stars:
Michael Fassbender, 
Rebecca Ferguson, 
Charlotte Gainsbourg, 
Jonas Karlsson
"
2012.0,"['Comedy', 'Drama', 'Romance']",7.8,328550.0,94.0,45.51,Moonrise Kingdom,"
A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.","
    Director:
Wes Anderson
| 
    Stars:
Jared Gilman, 
Kara Hayward, 
Bruce Willis, 
Bill Murray
"
2011.0,"['Drama', 'Thriller']",6.7,290444.0,106.0,75.66,Contagion,"
Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure.","
    Director:
Steven Soderbergh
| 
    Stars:
Matt Damon, 
Kate Winslet, 
Jude Law, 
Gwyneth Paltrow
"
2006.0,"['Crime', 'Drama']",7.7,117889.0,101.0,0.33,This Is England,"
A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.","
    Director:
Shane Meadows
| 
    Stars:
Thomas Turgoose, 
Stephen Graham, 
Jo Hartley, 
Andrew Shim
"
1971.0,"['Family', 'Fantasy', 'Musical']",7.8,186202.0,100.0,4.0,Willy Wonka & the Chocolate Factory,"
A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.","
    Director:
Mel Stuart
| 
    Stars:
Gene Wilder, 
Jack Albertson, 
Peter Ostrum, 
Roy Kinnear
"
2013.0,"['Action', 'Crime', 'Thriller']",6.5,113476.0,100.0,20.16,Homefront,"
A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.","
    Director:
Gary Fleder
| 
    Stars:
Jason Statham, 
James Franco, 
Winona Ryder, 
Kate Bosworth
"
1989.0,"['Comedy', 'Drama']",8.1,443357.0,128.0,95.86,Dead Poets Society,"
Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.","
    Director:
Peter Weir
| 
    Stars:
Robin Williams, 
Robert Sean Leonard, 
Ethan Hawke, 
Josh Charles
"
1998.0,"['Comedy', 'Romance']",7.1,298729.0,119.0,176.48,There's Something About Mary,"
A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.","
    Directors:
Bobby Farrelly, 
Peter Farrelly
| 
    Stars:
Cameron Diaz, 
Matt Dillon, 
Ben Stiller, 
Lee Evans
"
2014.0,"['Action', 'Sci-Fi', 'Thriller']",6.4,462122.0,89.0,126.66,Lucy,"
A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","
    Director:
Luc Besson
| 
    Stars:
Scarlett Johansson, 
Morgan Freeman, 
Choi Min-sik, 
Amr Waked
"
2017.0,"['Action', 'Adventure', 'Fantasy']",5.4,177592.0,110.0,80.1,The Mummy,"
An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.","
    Director:
Alex Kurtzman
| 
    Stars:
Tom Cruise, 
Sofia Boutella, 
Annabelle Wallis, 
Russell Crowe
"
2014.0,"['Comedy', 'Drama']",7.7,595946.0,119.0,42.34,Birdman or (The Unexpected Virtue of Ignorance),"
A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.","
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Michael Keaton, 
Zach Galifianakis, 
Edward Norton, 
Andrea Riseborough
"
2015.0,"['Drama', 'Thriller']",4.9,87474.0,99.0,0.04,Knock Knock,"
A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.","
    Director:
Eli Roth
| 
    Stars:
Keanu Reeves, 
Lorenza Izzo, 
Ana de Armas, 
Aaron Burns
"
2004.0,"['Animation', 'Adventure', 'Family']",8.2,351466.0,119.0,4.71,Hauru no ugoku shiro,"
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","
    Director:
Hayao Miyazaki
| 
    Stars:
Chieko Baishô, 
Takuya Kimura, 
Tatsuya Gashûin, 
Akihiro Miwa
"
2013.0,"['Crime', 'Mystery', 'Thriller']",7.2,614056.0,115.0,117.72,Now You See Me,"
An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.","
    Director:
Louis Leterrier
| 
    Stars:
Jesse Eisenberg, 
Common, 
Mark Ruffalo, 
Woody Harrelson
"
1997.0,"['Action', 'Adventure', 'Sci-Fi']",6.6,390425.0,129.0,229.09,The Lost World: Jurassic Park,"
A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.","
    Director:
Steven Spielberg
| 
    Stars:
Jeff Goldblum, 
Julianne Moore, 
Pete Postlethwaite, 
Vince Vaughn
"
2017.0,"['Action', 'Sci-Fi', 'Thriller']",5.3,99724.0,109.0,33.7,Geostorm,"
When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.","
    Director:
Dean Devlin
| 
    Stars:
Gerard Butler, 
Jim Sturgess, 
Abbie Cornish, 
Alexandra Maria Lara
"
2016.0,"['Animation', 'Adventure', 'Comedy']",6.1,181775.0,89.0,97.69,Sausage Party,"
A sausage strives to discover the truth about his existence.","
    Directors:
Greg Tiernan, 
Conrad Vernon
| 
    Stars:
Seth Rogen, 
Kristen Wiig, 
Jonah Hill, 
Alistair Abell
"
2010.0,"['Action', 'Crime', 'Drama']",7.3,189815.0,133.0,21.15,The Next Three Days,"
A married couple's life is turned upside down when the wife is accused of a murder.","
    Director:
Paul Haggis
| 
    Stars:
Russell Crowe, 
Elizabeth Banks, 
Liam Neeson, 
Michael Buie
"
2016.0,['Drama'],7.4,285273.0,111.0,27.85,Moonlight,"
A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.","
    Director:
Barry Jenkins
| 
    Stars:
Mahershala Ali, 
Naomie Harris, 
Trevante Rhodes, 
Alex R. Hibbert
"
2015.0,"['Action', 'Adventure', 'Biography']",6.9,128605.0,122.0,25.02,In the Heart of the Sea,"
A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.","
    Director:
Ron Howard
| 
    Stars:
Chris Hemsworth, 
Cillian Murphy, 
Brendan Gleeson, 
Ben Whishaw
"
1997.0,"['Drama', 'Mystery', 'Sci-Fi']",7.5,261289.0,150.0,100.92,Contact,"
Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.","
    Director:
Robert Zemeckis
| 
    Stars:
Jodie Foster, 
Matthew McConaughey, 
Tom Skerritt, 
John Hurt
"
2018.0,"['Drama', 'Horror', 'Music']",7.0,58051.0,97.0,0.8,Climax,"
French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD.","
    Director:
Gaspar Noé
| 
    Stars:
Sofia Boutella, 
Romain Guillermic, 
Souheila Yacoub, 
Kiddy Smile
"
